Emotion|Cleaned lyrics
Sweet|love sake mistake forgave soon u learn trust run away time play build build build solid solid rock love got solid solid rock nothing changed thrill still hot hot hot hot hot turn away sky went gray somehow managed stick together bat eye made cry knew line would make better love sake mistake forgave soon u learn trust run away time play build build build solid solid rock love got yes solid solid rock nothing changed thrill still hot hot hot hot hot gone wind another friend got tried seperate u knock knock wood understood love new feeling willing take chance odds made start got serious turn dust build build build solid solid rock love got solid yes solid rock nothing changed thrill still hot hot hot hot hot solid solid rock know well know baby solid solid rock lovin lovin oh solid leave baby solid rock well well solid solid rock every day get sweeter solid know like solid rock good good well good good good solid solid solid solid solid solid rock
Boisterous|twenty five cent hah pay twenty five cent go nowhere cause listen harlem ev ry saturday night highbrow get together tight congregates night strut tut tut tut old hannah brown cross town get full corn start breakin em break day hear old hannah say gimme pigfoot bottle beer send gain care feel like wanna clown give piano player drink bringin gotta rhythm e e h stomp foot sends right sleep check razor gun gonna rested wagon come wanna pigfoot bottle beer send cause care play cause care gimme pigfoot bottle beer send gain care feel like wanna clown give piano player drink bringin got rhythm e e h stomp foot sends right sleep check razor gun shim sham shimmy til risin sun give reefer gang gin play cause sin play cause full gin
Cheerful|17 19 feel deep love growin queen know thing love innocent sneakin doorstep hug held tightly promised world gave hickey said girl think make smile cause felt butterfly funny grow innocence fade used live love afraid darkness bitter memory lover crushed u infidelity promised love end always forever since way back uh like candy world sweetest friend taste better back always candy one day start family always candy girl always candy girl forever always candy yes want love girl understand yes always candy girl whatever suck caramel apple lollypops rain sleet snow troopin murdock used walk block hold hand would get school cause man guy want socialize know mma flip cat try peep used say whipped girl said since got flipped uh feel feeling felt mirror ceiling melt would look ya remember afternoon surrendered made love temperature high could said todd promise lyin went separate way turned back smiled remember always candy one day start family yes always candy girl candy girl candy girl forever always candy alright want love girl understand understand always candy girl okay take bridge candy girl world world look sweet special treat sweet candy girl mmm mmm mmm want say need love every day alone room sometimes stare wall back mind hear memory call day love true slept held taste brown sugar let climax melt candy occupyin thought turned soul upside lesson taught could feel even far away right wit sweet love strictly mma bend backwards keep side take mental emotional ride make love soul heart mind hour need girl every time long support dream stayin right beside part team mma take average man dream cause world sour got sweetest love always candy one day start family always candy girl candy girl candy girl candy girl forever always candy always want love girl understand true love hey hey always candy girl love whatever candy girl world candy candy look sweet special treat candy girl forever candy girl want say word bond sweetheart swear need love whatever candy girl love baby love baby sometimes gotta go back home look sweet yeah love candy girl
Boisterous|baby back dressd black silver button back high low tipsy toe broke needle sew walkin dog walkin dog know show walk dog asked fellow fifteen cent see fellow jumped fence jumped high touched sky never got back till fourth july walkin dog walkin dog know show walk dog
Poignant|got shall shall lose bible said still news mama may papa may god bless child got got yes strong get weak one fade empty pocket ever make grade mama may papa may god bless child got got repeat x2 money got lot friend crowding round door gone spending end come rich relation give crust bread help take much mama may papa may god bless child got got mama may papa may god bless child got got worry bout nothin cause got yes got
Tense - Anxious|milk bar feeling lost drinking soda cold frost someone lean direction quizzing jukebox selection call noise put pop yeah yeah walkway moving fast get transistor blast someone lean direction quizzing station selection call noise put pop yeah yeah come wrong way come long way play song much loud pop yeah yeah
Rollicking|hey porter hey porter would tell time much longer till cross mason dixon line daylight would ya tell engineer slow better still stop train cause wanna look around hey porter hey porter time ya say much longer till see light day hit dixie tell engineer ring bell ask everybody asleep stand right yell hey porter hey porter getting light outside old train puffin smoke strain eye ask engineer blow whistle please cause smell frost cotton leaf feel southern breeze hey porter hey porter please get bag need nobody tell tennessee go tell engineer make lonesome whistle scream far home take easy steam hey porter hey porter please open door stop train gonna get first cause wait tell engineer said thanks alot mind fare gonna set foot southern soil breathe southern air
Visceral|know ready see ready well hell know ready know ready one time around block one time around block one time around block know ready see ready well hell know ready know ready one time around block one time around block one time around block ready ready ready ready know ready see ready well hell know ready know ready one time around block one time around block one time around block know ready see ready well hell know ready know ready one time around block one time around block one time around block ready ready ready ready ready ready ready ready ready ready ready
Literate|phone ring sun refused shine never thought pay dearly already mine long long time made mad love shadow love random love abandoned love accidentally like martyr hurt get worse heart get harder day slide done done sigh never thought ever lonely long long time time mind made mad love shadow love random love abandoned love accidentally like martyr hurt get worse heart get harder
Rowdy|live apartment ninety ninth floor block sit home looking window imagining world stopped fly guy dressed like union jack say five pound kind detergent pack said hey get cloud hey get cloud hey get cloud hang around cause two crowd cloud baby telephone ringing say hi line voice say hi hello well guess doin fine say three much noise people ever wanna go bed cause feel good drive head said hey get cloud hey get cloud hey get cloud hang around cause two crowd cloud baby sick tired fed decided take drive downtown quiet peaceful nobody soul around laid tired started dream morning parking ticket like flag stuck window screen said hey get cloud hey get cloud hey get cloud hang around cause two crowd cloud hey get cloud hey get cloud hey get cloud hang around baby two crowd
Wry|po greeting girl welcome world phrase right bat daisy age walk top stage wipe lotto mat hip hop love mind quiz involvement sun clear court cause one man sport better plug one worry squashin deal cause already squooshed freeze frame mood continue right behind bush stay eye know earthly treasure regardless fact posdnuos eye know eye love better dove may cut dance introduce chosen one speak let lay hand across aim kiss upon cheek name plug two soul bring daisy choice may filled pleasure principle circumference voice jenny reckoned lost like homework excuse time magic number two cause take two three seduce destiny love brought apex sex mere molecule world love true eye know eye love better po time let rhyme style get somewhat poured mold take hand pick plantation daisy bouquet soul life begin cut rim take filled rim brim squeeze stoop like betty boop make campbell alphabet soup spell plug one within forward march say transistor play come bed mood dolby sound top crowned put needle groove got good thing full swing show gift word letter even without three eye know close cause eye know love better dove song send taking step reach heart moment feel alone fill empty part ascend till reach de la heaven spin hit top ten meet mr stuckie po brother lucky preach let wedding begin shot arrow cupid string g clef dear claim def hear golly gee trugoy ready possess could live plug two home mar could alone make song two picture perfect thing sing eye know love better
Poignant|freedom within freedom without try catch deluge paper cup battle ahead many battle lost never see end road travelling hey hey dream hey hey world come come come build wall u know win towing car hole roof possession causing suspicion proof paper today tale war waste turn right v page hey hey dream hey hey world come come come build wall u know win walking beat drum counting step door heart shadow ahead barely clearing roof get know feeling liberation release hey hey dream hey hey world come come come build wall u know win let win hey hey hey hey
Tense - Anxious|get around seven get outta bed around nine worry nothin cause worryin waste time show usually start around seven go stage around nine get bus eleven sippin drink feelin fine chorus dancin mr brownstone knockin leave alone used ta little little little got keep tryin ta get little better said little better used ta little little little got keep tryin ta get little better said little better chorus get around whenever used ta get time old man real muthafucker gonna kick line
Cheerful|ahhhhhh oooooo way always dreamed would way oh oh holding never love maybe alone hear music hear music sound city baby seems disappear hear music sweet sweet music whenever touch baby whenever near lovin keep satisfied explain oh way feeling inside look kiss close eye come hear music hear music sound city baby seems disappear hear music sweet sweet music whenever touch baby whenever near hear music time yeah hear music hold tight baby hear music time hear music hear music baby ahhhhh hear music hear music sound city baby seems disappear hear music sweet sweet music whenever touch baby whenever near
Wry|make new cult every day suit affair kissing girl english back stair honey following innocent boy never know never show always get way never know never show always get way taking picture obsession cause met boy went one session blue velour silk liberated boy never rated throwing discus liverpool widnes liberated boy never rated business star track field star track field star track field beautiful people could write piece made hour spent wilderness training could wear terry underwear feel city air run past body terry underwear feel city air run past body could write requiem dead move speed went head never needed anyone get round track back knowledge get college back knowledge get wanted star track field star track field star track field beautiful people
Amiable-good natured|everybody ocean ooh across usa ooh everybody surfin ooh like californi ooh see wearin baggies ooh huara chi sandal ooh bushy bushy blond hair ooh surfin usa ooh catch em surfin del mar inside outside usa ventura country line inside outside usa santa cruz tressels inside outside usa australia nabarine inside outside usa manhattan inside outside usa doheny way inside outside usa everybody gone surfin surfin usa ooh plannin route ooh gonna take real soon ooh waxing surfboard ooh wait june ooh gone summer ooh safari stay ooh tell teacher surfin ooh surfin usa ooh haggarty swami inside outside usa pacific palisade inside outside usa san onofre sunset inside outside usa redondo beach la inside outside usa la jolla inside outside usa waiamea bay inside outside usa everybody gone surfin surfin usa ooh wipeout planning route inside outside usa gonna take real soon inside outside usa waxing surfboard inside outside usa wait june inside outside usa safari stay inside outside usa everybody gone surfin surfin usa ooh repeat 3 time
Cheerful|survive without tell love wanna leave beg stay gotta go darling maybe better way gonna strong gonna fine worry heart mine walk door see care go go chorus turn around cause gonna see heart breakin turn around want seein cry walk away tearin apart leavin lettin go let know wont let know miss arm around holdin tight holdin tight ever think know alright alright gonna strong gonna fine worry heart mine know survive make even learn live without chorus wish could scream loud love wish could say go walk away feel pain gettin strong people life know going proud turn around gone chorus
Amiable-good natured|put boom boom heart send soul sky high lovin start jitterbug brain go bang bang bang till foot something bugging something right best friend told last night left sleeping bed dreaming instead chorus wake go go leave hanging like yo yo wake go go want miss hit high wake go go cause planning going solo wake go go take dancing tonite want hit high get gray sky outta way make sun shine brighter doris day turn mere spark flame beat per minute never cause lady fool make crazy act cruel c mon baby let fight go dancing everything alright repeat chorus cuddle baby move tight go dancing tomorrow night cold warm bed dance stay home instead return top
Autumnal|could save time bottle first thing like save every day til eternity pass away spend could make day last forever word could make wish come true save every day like treasure would spend chorus never seems enough time thing want find looked around enough know one want go time box wish dream never come true box would empty except memory answered repeat chorus
Rousing|got much trouble mind refuse lose ticket hear drummer get wicked crew push back black attack sat japped slapped mac intosh ready mike know like huh hear favoritism roll oh never brother like go solo lazer anastasia maze ya way blaze brain train ya way livin forgiven givin x flex hit know later know avoid paranoid man gear wear got em goin fear rhetoric said read bit ago quittin though signed hard rhymer work keep gettin jerked changin way way back better day raw metaphysically bold never followed code still dropped load never question god know cause comin heart got better get get hustler culture snakebitten spit face rhyme keep fittin respect givin ya livin protect pad defect check record reckon intentional wreck played intellect made call took fall broke law fault fallin known fair square throughout year growl livin foul black bone home home welcome terrordome subordinate terror kickin era cold deliverin pain 98 87 record yo go bronco crucifixion fiction called chosen frozen apology made ever pleases still got like jesus rather sing bring think reminisce bout brother sync every brother brother cause color well could undercover backstabbed grabbed flag back lab told rab get rag sad say got sold river still quiver deliver never say never know clue word heard plus hard boulevard lie scandalizin basin trait hate celebratin wit satan rope dope evil righteous bobbin weavin let good get even c mon welcome terrordome caught race time pit pendulum check rhythm rhyme bendin em snake blowin line design tryin blind science snedin em fight power cannot run hide suicide game fool without rule got hell nerve criticize every brother brother cause black hand squeezed malcom x man shootin huey newton hand nigger pulled trigger weak speak blame somebody else destroy first nothing worse mother pain son slain bensonhurst wait state decide fate jam dedicate place racist face example one many case greek weekend speech speak lesson learned virginia beach smile line fire go wildin bass drum even violin watcha gitcha head ready instead gettin physically sweaty get mad put pad give ya somethin cha never controllin fear high rollin god bless soul keep livin never allowed kickin loud droppin bomb brain game intellectual vietnam move team never move alone welcome terrordome
Witty|think look pretty good together think shoe made leather substitute another guy look pretty tall heel high simple thing see complicated look pretty young back dated yeah substitute lie fact see right plastic mac look white dad black fine looking suit really made sack born plastic spoon mouth north side town faced east east facing south dare look eye crocodile tear cry genuine problem try work pas pas substitute substitute coke gin substitute mum least get washing done
Tense - Anxious|standing beach gun hand staring sea staring sand staring barrel arab ground see open mouth hear sound alive dead stranger killing arab turn walk away fire gun staring sky staring sun whichever chose amount absolutely nothing alive dead stranger killing arab feel steel butt jump smooth hand staring sea staring sand staring reflected eye dead man beach dead man beach alive dead stranger killing arab
Sweet|since met begun feel strange every time speak name funny say helpless know night pray never come day take love away say feel way wonder feel could falling love baby could falling love woo could falling love need thing used bring joy made happy boy honey always meeting destiny sure never let need around darling always heaven made specially could falling love baby could falling love woo could falling love darling always heaven made specially could falling love baby could falling love wanna know baby could falling love instrumental interlude darling always heaven made specially could falling love baby could falling love wanna know baby could falling love could falling love could falling love could falling love could falling love could falling love
Rollicking|going country babe wanna go going country babe wanna go going place never going going water taste like wine well going water taste like wine jump water stay drunk time gonna leave city got get away gonna leave city got get away fussing fighting man know sure stay baby pack leaving trunk know got leave today exactly going cannot say might even leave usa cause brand new game want play use running screaming cry cause got home long got mine
Poignant|took love took climbed mountain turned around saw reflection snow covered hill til landslide brought oh mirror sky love child within heart rise sail changin ocean tide handle season life know well afraid changin cause built life around time make bolder even child get older getting older oh take love take climb mountain turn around see reflection snow covered hill well landslide bring see reflection snow covered hill well landslide bring landslide bring
Wistful|damned come ghost unusual moon full happened call sit hand telephone hearing voice known couple light year ago heading straight fall remember eye bluer robin egg poetry lousy said calling booth midwest ten year ago bought cufflink brought something know memory bring bring diamond rust well burst scene already legend unwashed phenomenon original vagabond strayed arm stayed temporarily lost sea madonna free yes girl half shell would keep unharmed see standing brown leaf falling around snow hair smiling window crummy hotel washington square breath come white cloud mingles hang air speaking strictly could died telling nostalgic give another word good word keeping thing vague need vagueness come back clearly yes loved dearly offering diamond rust already paid
Wistful|playing solitaire take book shelf program air keep pretty much missed saturday dance heard crowded floor bare without get around much anymore oh darling guess mind ease never less stir memory invited day might gone awfully different without get around much anymore oh darling guess mind ease never less stir memory invited day might gone awfully different without get around much anymore get around much anymore get around much anymore
Literate|boy thorn side behind hatred lie murderous desire love look eye still believe hear say word still believe believe ever believe believe ever ever believe oh oh boy thorn side behind hatred lie plundering desire love see love eye still believe u time ah want believe u believe u ever believe u want live start go need know oh oh oh oh la
Boisterous|got got give mamma got got give pappa got got give daughter little dance drink little water got got get put got got get put got got get put reeling feeling stop continue realize want miser confide w sly wiser young blood lovin upriser come everybody want keep like kaiser chorus give away give away give away give away give away give away give away give away give away give away give away give away tell kingpin pauper greedy little people sea distress keep receive less unimpressed material excess love free love say hell yes low brow rock little know time piggy hoosegow get smart get pow wow never better time right bob marley poet prophet bob marley taught bob marley walkin like talk goodness see gonna cough chorus lucky swimmin ability dancin life agility come drink fertility blessed bucket lucky mobility mom love cause love long gone time scrub feelin good brother gonna hug drink juice young love chug lug river born giver keep warm let shiver heart never gonna wither come everybody time deliver chorus got got give mamma got got give pappa got got give daughter little dance drink little water
Confident|bring hear knocking door sleep night face place room inside house need alone waste word need anything care plan turn turn wish learn time place everything got get cut loose cause use stand another second company waste word need anything care plan stone see one nowhere washed baby look better dead tongue far long like way suck slur upon every word waste word need anything care plan resurrection life ever bring hate like resurrection life ever bring hate like
Tense - Anxious|trying show look child bearing hip look ruby red ruby lip look work strong arm got see bottle full charm lay foot turn around say back said sheela na gig sheela na gig exhibitionist sheela na gig sheela na gig exhibitionist gonna wash man right hair like first time said care gonna wash man right hair heard gonna wash man right hair turn corner another one gonna wash man right hair heard said sheela na gig sheela na gig exhibitionist sheela na gig sheela na gig exhibitionist put money idle hole put money idle hole gonna wash man right hair like first time said care gonna wash man right hair heard gonna take hip man care turn corner another one gonna take hip man care heard said sheela na gig sheela na gig exhibitionist sheela na gig sheela na gig exhibitionist put money idle hole put money idle hole said wash breast want unclean said please take dirty pillow away said wash breast want unclean said please take dirty pillow away
Wry|changed name search fame find midas touch oh wish never wanted want twice much crossed mighty ocean divide never crossed emotion felt much inside know tale tell know band well still feel somehow let went somewhere way see pay rock n roll circus town buffin lost child like dream mick lost guitar verden grew line two overend rock n roll star behind shade vision fade learn thing two oh time know rock n roll loser game mesmerises explain reason sight sound went somewhere way see pay rock n roll circus town rock n roll loser game mesmerises explain reason sight sound greasepaint still stick face hell erase rock n roll feeling mind mind mind mind miiiiiind miiiiind miiiiiiiiind miiiiiiiiiiiind
Boisterous|plopped easy chair turned channel 2 bad gunslinger called salty sam chasin poor sweet sue trapped old sawmill said evil laugh give deed ranch saw half grabbed tied turned bandsaw chorus along came jones tall thin jones slow walkin jones slow talkin jones along came long lean lanky jones commercial came got get snack seen goin time got back old abandoned mine sweet sue havin fit villain said give deed ranch blow bit grabbed tied lit fuse dynamite chorus got bugged turned turned another show old shoot em old rodeo salty sam tryin stuff sweet sue burlap sack said give deed ranch gonna throw railroad track grabbed tied threw railroad track train started comin chorus
Campy|heard wireless back fifty two lying awake intent tuning young stop coming oh oh took credit second symphony rewritten machine new technology understand problem see oh oh met child oh oh tell video killed radio star video killed radio star picture came broke heart oh oh meet abandoned studio hear playback seems long ago remember jingle used go oh oh first one oh oh last one video killed radio star video killed radio star mind car rewind gone far oh aho oh oh aho oh video killed radio star video killed radio star mind car rewind gone far picture came broke heart put blame vcr radio star radio star video killed radio star video killed radio star video killed radio star video killed radio star video killed radio star radio star
Volatile|bus town poor boy get around eight fifty five show leaf early never know cuz poor boy belief chance never get modern dance door eye place watch shadow race watch real close look real fast touch never last cuz poor boy belief chance never get modern dance
Agressive|care state hair got something nothing kiss kiss kiss never gonna blow away dream escape keep awake never gonna get make away stone dead tripper dying fantasy like cracked open sky help die split scrape screaming automatic pain young kid gonna get hit look like never gonna make government list mind state mind know good nothing left behind sick sick city never gonna make insane talking real go cut deal facing living way feel shake shake shake cause know never make away well guess always got blue
Fun|woke morning head bad worst hangover ever happened last night girl mine loved right yeah oh oh loved long loved hard finally passed front yard whoo wine much double shot baby love chorus double shot baby love yeah yeah yeah double shot baby love yeah yeah yeah potion much double shot baby love repeat intro verse 2 thrill hurtin ooh sufferin ecstasy turnin flip shoutin loud yah hah sip love walkin one cloud one night week plenty enough good thing bottle stuff pop well heart begin fly like dove take double shot baby love repeat chorus coda repeat fade trash organ riff intro double shot baby love yeah yeah yeah
Autumnal|time season love run high time give easy let try pleasured hand take sun promised land show every one time season loving name daddy rich rich like taken time show show need live tell slowly tell really want know time season loving
Amiable-good natured|ooh wah ooh wah cool cool kitty tell u boy new york city ooh wah ooh wah c mon kitty tell u boy new york city kind tall really fine day hope make mine mine neat oh sweet way looked swept foot ooh whee ought come see walk talk ooh wah ooh wah cool cool kitty tell u boy new york city really clown finest penthouse ever seen town cute mohair suit keep pocket full spending loot ooh whee say ought come see dueling scar brand new car every time say love chill run spine every time want kiss make feel fine ooh wah ooh wah cool cool kitty tell u boy new york city well dance dance take chance little make romance romance baby cause looker feel love one glance sweet talking cool shy know never ever say goodbye ooh whee say ought come see coast coast ooh wah ooh wah cool cool kitty tell u boy new york city ooh wah ooh wah c mon kitty tell u boy new york city
Wistful|night white satin never reaching end letter written never meaning send beauty always missed eye truth say anymore co love yes love oh love gazing people hand hand going understand try tell thought cannot defend want end love yes love oh love oh love night white satin never reaching end letter written never meaning send beauty always missed eye truth say anymore co love yes love oh love oh love co love yes love oh love oh love breath deep gathering gloom watch light fade every room bedsitter people look back lament another day useless energy spent impassioned lover wrestle one lonely man cry love none new mother pick suckles son senior citizen wish young cold hearted orb rule night remove colour sight red gray yellow white decide right illusion
Volatile|counting backwards count remember remember time rope try turn back built tower bone spill mortar home let heartbeat beat keep safe telling keep awake one hundred fingerprint hear hundred linger ear measure fortune killing time
Passionate|london calling faraway town war declared battle come london calling underworld come cupboard boy girl london calling look u phony beatlemania bitten dust london calling see got swing cept ring truncheon thing chorus ice age coming sun zooming engine stop running wheat growing thin nuclear error fear london drowning live river london calling imitation zone forget brother go alone london calling upon zombie death quit holding draw another breath london calling want shout talking saw nodding london calling see got high except one yellowy eye chorus get london calling yeah know said well true london calling top dial give smile never felt much like
Autumnal|want hear love song got airplane fly know life show prairie sky want hear sad story full heartbreak desire last time felt like wilderness canyon fire stood mountain night watched burn watched burn watched burn would rock soul bosom abraham would hold life saving grace would walk way boulder birmingham thought could see could see face well really got time hardest part knowing survive come listen sound truck move ninety five pretend ocean coming wash clean wash clean baby know mean would rock soul bosom abraham would hold life saving grace would walk way boulder birmingham thought could see could see face
Passionate|looking morning rain used feel uninspired knew face another day lord made feel tired day met life unkind key peace mind cause make feel make feel make feel like natural woman soul lost found came along claim know wrong till kiss helped name longer doubtful living cause make happy need cause make feel make feel make feel like natural woman oh baby done make feel good inside want close make fell alive cause make feel make feel make feel like natural woman
Agressive|sup beer collect fag row going near slough get mat pray west get mine pray thought smart took take peep artillery room rugby put hair chest chance got tie crest hello hurrah nice day eton rifle hello hurrah hope rain stop play eton rifle thought clever lit fuse tore house common brand new shoe compose revolutionary symphony went bed charming young thing hello hurrah cheer mate eton rifle hello hurrah extremist scrape eton rifle catalyst turned loaded gun run home tea left standing like guilty naughty schoolboy came naturally worst beaten bloody sick shirt match untamed wit though lad said back next week hello hurrah price pay eton rifle hello hurrah prefer plague eton rifle hello hurrah price pay eton rifle hello hurrah prefer plague eton rifle
Sweet|dance hold hand whisper ear sweet word love hear shy take time like get know like make mine waiting sitting patiently come dance number beachwood 45789 call date old time shy take time like get know like make mine beachwood 45789 call date old time shy take time like get know like make mine number beachwood 45789 call date old time beachwood 45789 call date old time beachwood 45789 call date old time
Rousing|back garage bullshit detector carbon monoxide making sure effective people ringing making offer life want stay garage night garage band come garageland meanwhile thing hotting west end alright contract office group night bummin slummin friend got new boot someone asked group would wear suit want hear rich want go rich going think clever think right truth known guttersnipe twenty two singer one microphone back garage five guitar player one guitar back garage complaint complaint wot old bag back garage night
Silly|pd beautiful day race stooge hand favorite today assault dog biscuit 3 1 safety pin scratched ya ya 20 1 beetlebomb pd horse approaching starting gate go pd stooge hand going front cabbage second rail beautiful linda third length beetlebomb pd around first turn stooge hand still front cabbage second head cabbage head beautiful linda third beetlebomb pd back stretch dog biscuit leading pack lady evelyn second close banana coming bunch banana coming bunch beetlebomb pd half stooge hand still front apartment house second plenty room assault passing battery assault battery notary sojac fourth last place 10 length believe yes beetlebomb pd around turn heading home stooge hand dog biscuit girdle stretch flying sylvester third mother law nagging rear oh oh oh pd come wire number one number two close need photo finish oil painting louis lead left louis slugging battle tearing hair hair ring hair place know whose hair ah ah mine pd go winner
Autumnal|come window little darling like try read palm used think kind gypsy boy let take home long marianne time began laugh cry cry laugh well know love live make forget much forget pray angel angel forget pray u long marianne time began met almost young deep green lilac park held like crucifix went kneeling dark oh long marianne time began letter say beside feel alone standing ledge fine spider web fastening ankle stone long marianne time began need hidden love cold new razor blade left told curious never said brave oh long marianne time began oh really pretty one see gone changed name climbed whole mountainside wash eyelid rain oh long marianne time began
Poignant|year ago heart set live oh trying hard unbelievable odds get hard time like hold gun waiting stuck side god one gonna turn round one gonna turn round people around tell know place send easy go zip dress stand row know say one gonna turn round one gonna turn round one gonna turn round one gonna turn round built trusted broke busted get get ah hold hold hold hold year ago heart set live oh trying hard strong odds get hard time like hold well fall fight side god one gonna turn round one gonna turn round one gonna turn round one gonna turn round hold hold hold hold alternate line last verse year ago set go trying hard long odds get hard time like even hang around either stand fall believe gonna stand tall
Cheerful|say fond fancy thing diamond clip emerald ring want man come give ooh la la car asked stop handsome traffic cop less want ticket two give ooh la la napoleon waterloo la la army debutante give british well known ooh la la changed history france favorite romeo grab hat start go reveal fact blue break start boo hoo one thing la la la la la la like tallula give ooh la la napoleon waterloo la la army debutante give british well known ooh la la changed history france favorite romeo grab hat start go reveal fact blue break start boo hoo one thing la la la la la la like tallula give ooh la la ooh la la ooh la la better like tellula fool give ooh la la
Witty|oh god said abraham kill son abe say man must puttin god say abe say god say want abe next time see comin better run well abe say want killin done god say highway 61 well georgia sam bloody nose welfare department give clothes asked poor howard go howard said one place know sam said tell quick man got run ol howard pointed gun said way highway 61 well mack finger said louie king got forty red white blue shoe string thousand telephone ring know get ride thing louie king said let think minute son said yes think easily done take everything highway 61 fift daughter twelfth night told first father thing right complexion said much white said come step light say hmmm right let tell second mother done second mother seventh son highway 61 rowin gambler bored tryin create next world war found promoter nearly fell floor said never engaged kind thing yes think easily done put bleacher sun highway 61
Tense - Anxious|got want forget whole lot go sometimes shout problem know sometimes get frightened see eye tell lyin look pageant everything imagined something wrong feel uneasy show tell teasin know sometimes get frightened see eye tell lyin know sometimes get frightened see eye tell lyin doubt without stay room go get answer always get nerve know sometimes get frightened see eye tell lyin know sometimes get frightened see eye tell lyin know sometimes get frightened see eye tell lyin
Rousing|looked morning sun gone turned music start day lost familiar song closed eye slipped away feeling hear old song used play feeling begin dreaming feeling til see marianne walk away see marianne walkin away many people come gone face fade year go yet still recall wander clear sun summer sky feeling hear old song used play feeling begin dreaming feeling til see marianne walk away see marianne walkin away tired thinking cold hide music forget day dream girl used know closed eye slipped away slipped away slipped away feeling hear old song used play feeling begin dreaming feeling til see marianne walk away see marianne walkin away
Visceral|earth tone suit give smile could hold foot get know awhile make due promise hard keep without help never taught look concerned health help spread right ash cow fertilized come feed town strength minimize hold meantime
Witty|babe buy present laugh know beep beep beep beep yeah got something say might cause pain catch talking boy gonna let yes yes gonna lose girl leave flat gonna let leave flat told good day sunshine oh hard day night well second time caught talking wanna hold hand tell one time think sin think let yes yes gonna lose girl leave flat gonna let leave flat told good day sunshine oh day tripper yeah paperback writer yeah everybody green co one stole love seen talking way laugh face please listen want stay mine would like know secret help feeling go mind gonna let yes yes gonna leave flat leave flat gonna let leave flat told believe yesterday babe buy present
Passionate|ready ready anybody ready ready anybody ready hope ready got axe handle pistol graveyard frame shoot tombstone bullet wearin ball chain drinkin tnt smokin dynamite hope screwball start fight cause ready ready anybody ready hope ready pretty little chick pretty little hair know feel like nowhere stop doin baby come overhere prove baby square ready ready anybody ready hope ready drinkin gin like never feel good want know one drink wish would take whole lotta lovin make feel good cause ready ready anybody ready hope ready
Amiable-good natured|cowboy easy love harder hold rather give song diamond gold lonestar belt buckle old faded levi night begin new day understand die young prob ly ride away mama let baby grow cowboy let em pick guitar drive old truck let em doctor lawyer mama let baby grow cowboy cause never stay home always alone even someone love cowboy like smokey old pool room clear mountain morning little warm puppy child girl night know like sometimes know take wrong different pride let thing make think right mama let baby grow cowboy let em pick guitar drive old truck let em doctor lawyer mama let baby grow cowboy cause never stay home always alone even someone love
Sweet|alone life making lonely always go downtown got worry noise hurry seems help know downtown listen music traffic city linger sidewalk neon sign pretty lose light much brighter forget trouble forget care go downtown thing great downtown finer place sure downtown everything waiting hang around let problem surround movie show downtown maybe know little place go never close downtown listen rhythm gentle bossa nova dancing night happy light much brighter forget trouble forget care go downtown light bright downtown waiting tonight downtown gonna right instrumental break may find somebody kind help understand someone like need gentle hand guide along maybe see forget trouble forget care go downtown thing great downtown wait minute downtown everything waiting downtown downtown downtown downtown
Rousing|time truly wastin guarantee yeah smile makin got fight power got many voice saying yeah killing around face full pain tried play music say music loud tried talking got big runaround rolled punch got knocked ground bullshit going hey time truly wastin guarantee yeah smile makin got fight power understand people wanna say yeah got answer red tape way could tend easy let fun naw naw seekin satisfaction keep run tried play music say music loud tried talking got big runaround rolled punch got knocked ground bullshit going oooh time truly wastin guarantee yeah smile makin got fight power fight baby yeah woo hey even fight power fight fight power
Bittersweet|maybe treat quite good maybe love quite often could little thing said done never took time always mind always mind maybe hold lonely lonely time guess never told happy mine made feel second best sorry blind always mind always mind tell tell sweet love died give give one chance keep satisfied keep satisfied little thing said done never took time always mind always mind repeat x3
Autumnal|yeah said right forget time waited patiently choose alone tonight dear yeah heard funny thing somebody said know could love almost everyone think people greatest fun alone tonight dear
Intense|whatever dre let run ah yo turn beat little bit ah yo song anyone fuck shut listen ah yo sit back pack zigzag bag weed give shit needed meanest mc earth cause since birth cursed curse curse blurt bezerk bizarre shit work sell help self relieve tension dispensing sentence getting stress eating recently chest rest get peacefully least decency leave alone freak see street eating feedin daughter come speak know owe motherfuck anything mr nsync friend think mr friendly prick tempt tank empty patience offend lifting ten foot air care saw destroy go call lawyer file lawsuit smile courtroom buy wardrobe tired mean mean chorus whatever say would say paper news everyday radio even play jam cause whatever say would say paper news everyday know way sometimes feel like father hate bothered nonsense constant oh lyrical content song guilty conscience gotten rotten response controversy circle seems like medium immediately point finger point one back em index pinky ring thumb one put give fuck put bullshit pull cause full shit dude gettin bullied shoot school blame marilyn heroin parent look middle america tragedy sad see upper class city happening attack eminem cause rap way glad cause feed fuel need fire burn burnin returned chorus sick tired admired wish would die get fired drop label stop fable gonna able top name pigeon holdin poppy sensation cop rotation rock n roll station patience deal cocky caucasian think wigga try black cause talk accent grab ball always keep asking fucking question school go hood grew til grabbing hair tearing driving crazy take racing pacing stand sit thankful every fan get take shit bathroom without someone standing sign autograph call asshole glad cause chorus
